iter	Passed	Remaining
0	1	1438
1	2	1154
2	3	1111
3	4	1084
4	5	1033
5	6	1001
6	7	1028
7	8	1008
8	8	989
9	9	977
10	10	979
11	12	1005
12	13	1032
13	14	1035
14	15	1046
15	16	1034
16	17	1032
17	18	1033
18	19	1022
19	20	1027
20	21	1020
21	22	1012
22	23	1010
23	24	1001
24	25	997
25	26	992
26	27	987
27	28	984
28	29	986
29	30	981
30	31	975
31	32	970
32	33	973
33	34	976
34	35	986
35	37	990
36	37	987
37	38	983
38	39	983
39	41	988
40	42	992
41	43	993
42	44	996
43	46	1003
44	47	1006
45	48	1007
46	49	1010
47	51	1017
48	52	1018
49	53	1016
50	54	1014
51	55	1014
52	56	1014
53	58	1017
54	59	1018
55	60	1015
56	61	1013
57	62	1013
58	76	1222
59	77	1216
60	78	1213
61	80	1213
62	81	1209
63	82	1204
64	83	1205
65	84	1200
66	85	1194
67	86	1191
68	87	1186
69	88	1181
70	89	1177
71	91	1173
72	92	1171
73	93	1171
74	94	1171
75	96	1170
76	97	1168
77	98	1164
78	99	1162
79	100	1160
80	102	1158
81	103	1158
82	104	1155
83	105	1153
84	106	1148
85	107	1146
86	109	1146
87	110	1145
88	111	1143
89	112	1141
90	114	1138
91	114	1134
92	115	1130
93	116	1126
94	117	1122
95	119	1121
96	120	1121
97	121	1120
98	122	1119
99	124	1117
100	125	1115
101	126	1116
102	127	1113
103	128	1110
104	129	1107
105	131	1105
106	132	1103
107	133	1100
108	134	1098
109	135	1096
110	136	1095
111	137	1093
112	138	1090
113	140	1089
114	141	1087
115	142	1085
116	143	1082
117	144	1080
118	145	1077
119	146	1075
120	147	1072
121	148	1069
122	149	1067
123	150	1064
124	151	1063
125	152	1060
126	153	1057
127	154	1053
128	155	1050
129	156	1048
130	157	1045
131	158	1041
132	159	1038
133	160	1036
134	161	1033
135	162	1031
136	163	1029
137	164	1026
138	165	1026
139	167	1026
140	168	1026
141	169	1025
142	170	1024
143	172	1022
144	173	1022
145	174	1020
146	175	1020
